description,industry,level,size,line_code,value
Changes in credit facilities: interest rates: stayed the same,total,0,total,D0402.02,12114
Changes in credit facilities: interest rates: increased,total,0,6–19 employees,D0402.03,17262
Changes in credit facilities: interest rates: increased,total,0,20–49 employees,D0402.03,4449
Changes in credit facilities: interest rates: increased,total,0,50–99 employees,D0402.03,1338
Changes in credit facilities: interest rates: increased,total,0,100+ employees,D0402.03,996
Changes in credit facilities: interest rates: increased,"Agriculture, forestry, & fishing",1,total,D0402.03,2349
Changes in credit facilities: interest rates: increased,Agriculture,2,total,D0402.03,1593
Changes in credit facilities: interest rates: increased,Commercial fishing,2,total,D0402.03,24
Changes in credit facilities: interest rates: increased,Forestry & logging,2,total,D0402.03,192
Changes in credit facilities: interest rates: increased,"Agriculture, forestry, & fishing support services",2,total,D0402.03,537
Changes in credit facilities: interest rates: increased,Mining,1,total,D0402.03,54
Changes in credit facilities: interest rates: increased,Manufacturing,1,total,D0402.03,2886
Changes in credit facilities: interest rates: increased,"Food, beverage, & tobacco",2,total,D0402.03,699
Changes in credit facilities: interest rates: increased,"Textile, clothing, footwear, & leather",2,total,D0402.03,135
Changes in credit facilities: interest rates: increased,Wood & paper product,2,total,D0402.03,303
Changes in credit facilities: interest rates: increased,"Printing, publishing, & recorded media",2,total,D0402.03,114
Changes in credit facilities: interest rates: increased,"Petroleum, coal, chemical, & associated product",2,total,D0402.03,207
Changes in credit facilities: interest rates: increased,Non-metallic mineral product,2,total,D0402.03,111
Changes in credit facilities: interest rates: increased,Metal product,2,total,D0402.03,489
Changes in credit facilities: interest rates: increased,Transport and industrial machinery & equipment,2,total,D0402.03,531
Changes in credit facilities: interest rates: increased,Other machinery & equipment,2,total,D0402.03,120
Changes in credit facilities: interest rates: increased,Other manufacturing,2,total,D0402.03,180
Changes in credit facilities: interest rates: increased,"Electricity, gas, water, & waste services",1,total,D0402.03,105
Changes in credit facilities: interest rates: increased,Construction,1,total,D0402.03,4194
Changes in credit facilities: interest rates: increased,Wholesale trade,1,total,D0402.03,1647
Changes in credit facilities: interest rates: increased,Machinery & equipment wholesaling,2,total,D0402.03,363
Changes in credit facilities: interest rates: increased,Other wholesale trade,2,total,D0402.03,1284
Changes in credit facilities: interest rates: increased,Retail trade,1,total,D0402.03,2796
Changes in credit facilities: interest rates: increased,Accommodation & food services,1,total,D0402.03,3117
Changes in credit facilities: interest rates: increased,"Transport, postal, & warehousing",1,total,D0402.03,807
Changes in credit facilities: interest rates: increased,Information media & telecommunications,1,total,D0402.03,165
Changes in credit facilities: interest rates: increased,Publishing,2,total,D0402.03,60
Changes in credit facilities: interest rates: increased,Motion picture,2,total,D0402.03,57
Changes in credit facilities: interest rates: increased,Telecommunications,2,total,D0402.03,45
Changes in credit facilities: interest rates: increased,Financial & insurance services,1,total,D0402.03,279
Changes in credit facilities: interest rates: increased,Finance,2,total,D0402.03,105
Changes in credit facilities: interest rates: increased,Insurance,2,total,D0402.03,9
Changes in credit facilities: interest rates: increased,Auxiliary,2,total,D0402.03,168
Changes in credit facilities: interest rates: increased,"Rental, hiring, & real estate services",1,total,D0402.03,453
Changes in credit facilities: interest rates: increased,"Professional, scientific, & technical services",1,total,D0402.03,1737
Changes in credit facilities: interest rates: increased,Computer systems design,2,total,D0402.03,219
Changes in credit facilities: interest rates: increased,Other professional scientific,2,total,D0402.03,1521
Changes in credit facilities: interest rates: increased,Administrative & support services,1,total,D0402.03,654
Changes in credit facilities: interest rates: increased,Education & training,1,total,D0402.03,555
Changes in credit facilities: interest rates: increased,Health care & social assistance,1,total,D0402.03,1254
Changes in credit facilities: interest rates: increased,Arts & recreation services,1,total,D0402.03,237
Changes in credit facilities: interest rates: increased,Other services,1,total,D0402.03,753
Changes in credit facilities: interest rates: increased,total,0,total,D0402.03,24048
Changes in credit facilities: interest rates: not applicable,total,0,6–19 employees,D0402.04,8271
Changes in credit facilities: interest rates: not applicable,total,0,20–49 employees,D0402.04,1530
Changes in credit facilities: interest rates: not applicable,total,0,50–99 employees,D0402.04,486
Changes in credit facilities: interest rates: not applicable,total,0,100+ employees,D0402.04,381
Changes in credit facilities: interest rates: not applicable,"Agriculture, forestry, & fishing",1,total,D0402.04,489
Changes in credit facilities: interest rates: not applicable,Agriculture,2,total,D0402.04,210
Changes in credit facilities: interest rates: not applicable,Commercial fishing,2,total,D0402.04,12
Changes in credit facilities: interest rates: not applicable,Forestry & logging,2,total,D0402.04,33
Changes in credit facilities: interest rates: not applicable,"Agriculture, forestry, & fishing support services",2,total,D0402.04,237
Changes in credit facilities: interest rates: not applicable,Mining,1,total,D0402.04,24
Changes in credit facilities: interest rates: not applicable,Manufacturing,1,total,D0402.04,1230
Changes in credit facilities: interest rates: not applicable,"Food, beverage, & tobacco",2,total,D0402.04,222
Changes in credit facilities: interest rates: not applicable,"Textile, clothing, footwear, & leather",2,total,D0402.04,75
Changes in credit facilities: interest rates: not applicable,Wood & paper product,2,total,D0402.04,120
Changes in credit facilities: interest rates: not applicable,"Printing, publishing, & recorded media",2,total,D0402.04,30
Changes in credit facilities: interest rates: not applicable,"Petroleum, coal, chemical, & associated product",2,total,D0402.04,114
Changes in credit facilities: interest rates: not applicable,Non-metallic mineral product,2,total,D0402.04,42
Changes in credit facilities: interest rates: not applicable,Metal product,2,total,D0402.04,282
Changes in credit facilities: interest rates: not applicable,Transport and industrial machinery & equipment,2,total,D0402.04,210
Changes in credit facilities: interest rates: not applicable,Other machinery & equipment,2,total,D0402.04,48
Changes in credit facilities: interest rates: not applicable,Other manufacturing,2,total,D0402.04,87
Changes in credit facilities: interest rates: not applicable,"Electricity, gas, water, & waste services",1,total,D0402.04,39
Changes in credit facilities: interest rates: not applicable,Construction,1,total,D0402.04,1152
Changes in credit facilities: interest rates: not applicable,Wholesale trade,1,total,D0402.04,723
Changes in credit facilities: interest rates: not applicable,Machinery & equipment wholesaling,2,total,D0402.04,303
Changes in credit facilities: interest rates: not applicable,Other wholesale trade,2,total,D0402.04,420
Changes in credit facilities: interest rates: not applicable,Retail trade,1,total,D0402.04,783
Changes in credit facilities: interest rates: not applicable,Accommodation & food services,1,total,D0402.04,1653
Changes in credit facilities: interest rates: not applicable,"Transport, postal, & warehousing",1,total,D0402.04,387
Changes in credit facilities: interest rates: not applicable,Information media & telecommunications,1,total,D0402.04,114
Changes in credit facilities: interest rates: not applicable,Publishing,2,total,D0402.04,39
Changes in credit facilities: interest rates: not applicable,Motion picture,2,total,D0402.04,27
Changes in credit facilities: interest rates: not applicable,Telecommunications,2,total,D0402.04,45
Changes in credit facilities: interest rates: not applicable,Financial & insurance services,1,total,D0402.04,228
Changes in credit facilities: interest rates: not applicable,Finance,2,total,D0402.04,42
Changes in credit facilities: interest rates: not applicable,Insurance,2,total,D0402.04,15
Changes in credit facilities: interest rates: not applicable,Auxiliary,2,total,D0402.04,171
Changes in credit facilities: interest rates: not applicable,"Rental, hiring, & real estate services",1,total,D0402.04,264
Changes in credit facilities: interest rates: not applicable,"Professional, scientific, & technical services",1,total,D0402.04,1455
Changes in credit facilities: interest rates: not applicable,Computer systems design,2,total,D0402.04,363
Changes in credit facilities: interest rates: not applicable,Other professional scientific,2,total,D0402.04,1095
Changes in credit facilities: interest rates: not applicable,Administrative & support services,1,total,D0402.04,549
Changes in credit facilities: interest rates: not applicable,Education & training,1,total,D0402.04,309
Changes in credit facilities: interest rates: not applicable,Health care & social assistance,1,total,D0402.04,834
Changes in credit facilities: interest rates: not applicable,Arts & recreation services,1,total,D0402.04,144
Changes in credit facilities: interest rates: not applicable,Other services,1,total,D0402.04,282
Changes in credit facilities: interest rates: not applicable,total,0,total,D0402.04,10671
Changes in credit facilities: fees: decreased,total,0,6–19 employees,D0403.01,408
Changes in credit facilities: fees: decreased,total,0,20–49 employees,D0403.01,105
Changes in credit facilities: fees: decreased,total,0,50–99 employees,D0403.01,27
